source,question,answer,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What type of language is python? Programming or scripting?,"Ans: Python is capable of scripting, but in general sense, it is considered as a general-purpose programming language. To know more about Scripting, you can refer to the Python Scripting Tutorial.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is the difference between list and tuples in Python?,"LIST: Lists are mutable i.e they can be edited. Lists are slower than tuples. Syntax: list_1 = [10, ‘Chelsea’, 20]
TUPLES: Tuples are immutable (tuples are lists which can’t be edited). Tuples are faster than list. Syntax: tup_1 = (10, ‘Chelsea’ , 20)",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is pep 8?,PEP stands for Python Enhancement Proposal. It is a set of rules that specify how to format Python code for maximum readability.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What are Dict and List comprehensions?,Dictionary and list comprehensions are just another concise way to define dictionaries and lists.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,,"The common built in data types in python are- Numbers– They include integers, floating point numbers, and complex numbers. eg. 1, 7.9,3+4i List– An ordered sequence of items is called a list. The elements of a list may belong to different data types. Eg. [5,’market’,2.4] Tuple– It is also an ordered sequence of elements. Unlike lists , tuples are immutable, which means they can’t be changed. Eg. (3,’tool’,1) String– A sequence of characters is called a string. They are declared within single or double quotes. Eg. “Sana”, ‘She is going to the market’, etc. Set– Sets are a collection of unique items that are not in order. Eg. {7,6,8}  Dictionary– A dictionary stores values in key and value pairs where each value can be accessed through its key. The order of items is not important. Eg. {1:’apple’,2:’mango} Boolean– There are 2 boolean values- True and False.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,Python an interpreted language. Explain.,"An interpreted language is any programming language which is not in machine-level code before runtime. Therefore, Python is an interpreted language.",,,,,
,,,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is the difference between .py and .pyc files?, The .py files are the python source code files. While the .pyc files contain the bytecode of the python files. .pyc files are created when the code is imported from some other source. The interpreter converts the source .py files to .pyc files which helps by saving time.,,,,,
,What is slicing in Python?,"Slicing is used to access parts of sequences like lists, tuples, and strings. The syntax of slicing is-[start:end:step]. The step can be omitted as well. When we write [start:end] this returns all the elements of the sequence from the start (inclusive) till the end-1 element. If the start or end element is negative i, it means the ith element from the end. The step indicates the jump or how many elements have to be skipped. Eg. if there is a list- [1,2,3,4,5,6,7,8]. Then [-1:2:2] will return elements starting from the last element till the third element by printing every second element.i.e. [8,6,4].",,,,,
https://infoshareacademy.com/blog/2019/11/06/wielki-test-wiedzy-o-pythonie-cz-i/,Co można robić w Pythonie?,"aplikacje webowe (Django, Flask), machine learning (Tensorflow, Keras), przetwarzanie i analiza danych, testowanie automatyczne, skrypty, automatyzacja, webscrapping, systemy wbudowane (np. Raspberry Pi)",,,,,
